hour,plug,value
341,2,17342.75799999983
341,5,6821.269000000012
341,6,5322.78600000001
341,7,34309.90199999999
341,9,1709.2169999999987
341,11,31578.443000000058
342,1,86475.01700000014
342,2,17378.455999999853
342,5,6865.637000000007
342,6,5311.907999999985
342,7,32930.32299999998
342,9,1673.2359999999996
342,11,30174.705999999984
343,1,46625.86399999998
343,2,17445.11099999984
343,5,6826.641000000006
343,6,5298.999000000003
343,7,33941.788
343,9,1799.2699999999984
343,11,31198.06300000005
344,1,24158.25799999999
344,2,17457.94799999984
344,5,6793.23900000001
344,6,5283.4100000000035
344,7,34284.96099999993
344,9,1844.7099999999975
344,11,31390.95500000001
345,1,90358.32599999983
345,2,17414.803999999822
345,5,6861.993000000005
345,6,5349.006000000012
345,7,33421.339000000036
345,9,1826.8050000000003
345,11,30726.76900000003
346,1,20876.572999999986
346,2,65190.49199999985
346,5,6762.798000000017
346,6,5271.881999999999
346,7,34073.12099999997
346,9,1806.2179999999985
346,11,31217.042000000012
347,1,52577.03699999981
347,2,68917.3409999999
347,5,115091.51100000029
347,6,89299.60999999997
347,7,33902.50299999999
347,9,1689.9269999999997
347,11,30942.80199999999
348,1,84113.05599999998
348,2,68054.78699999997
348,5,250889.8330000004
348,6,196095.58499999967
348,7,33309.3199999999
348,9,1701.5829999999992
348,11,30661.079999999987
349,2,66971.365
349,5,276270.57199999975
349,6,214101.26900000026
349,7,33934.33299999995
349,9,1650.3839999999977
349,11,31071.221000000023
350,1,79424.9779999998
350,2,66038.30599999982
350,5,230273.81699999972
350,6,178964.81200000047
350,7,33106.00599999994
350,9,1778.3509999999962
350,11,30459.06399999998
351,1,63711.18299999993
351,2,65883.3000000001
351,5,246037.068
351,6,192135.0500000004
351,7,33348.896999999975
351,9,1890.4669999999958
351,11,30503.203999999972
352,1,7353.742000000004
352,2,66533.61399999987
352,5,246751.36799999996
352,6,191961.8830000003
352,7,34471.71099999999
352,9,1810.0169999999982
352,11,31607.310000000085
353,1,93461.59800000007
353,2,67964.2679999999
353,5,225769.41800000012
353,6,175752.4849999995
353,7,33398.16599999996
353,9,1855.4109999999978
353,11,30504.22599999996
354,1,49503.008999999984
354,2,65912.73999999995
354,5,166355.74200000038
354,6,129201.19900000069
354,7,33236.001999999964
354,9,1793.2519999999977
354,11,30416.870000000017
355,1,23420.63099999998
355,2,63753.604999999894
355,5,6489.025000000014
355,6,5044.09200000001
355,7,33794.52399999992
355,9,1712.727999999998
355,11,30952.677000000007
356,1,89947.57299999981
356,2,63966.7339999998
356,5,6362.9340000000075
356,6,4961.293999999996
356,7,33599.458000000006
356,9,1720.619999999999
356,11,30775.63100000008
357,1,32586.374
357,2,47845.4290000003
357,5,6165.651
357,6,4785.380999999994
357,7,33977.86899999997
357,9,1730.471999999999
357,11,31128.88699999999
358,1,43341.46899999978
358,2,13624.051999999927
358,4,1841.4710000000002
358,5,5435.195999999997
358,6,4238.217999999977
358,7,32137.843999999837
358,9,1771.591999999996
358,11,29502.78100000016
359,1,91293.23299999977
359,2,32333.247000000156
359,4,1880.2080000000003
359,5,5499.693000000006
359,6,4259.807999999982
359,7,31738.636000000002
359,9,1699.5089999999964
359,11,29032.854999999956
360,1,11037.896000000012
360,2,64790.47099999999
360,5,5173.270999999966
360,6,4015.4739999999997
360,7,35217.54400000004
360,9,3241.1869999999985
360,11,32279.089000000044
361,1,80353.00099999977
361,2,14351.169999999882
361,5,3917.8529999999682
361,6,3061.3899999999967
361,7,34001.36199999994
361,9,18928.28099999992
361,11,31282.773000000052
362,1,83641.78000000025
362,2,13270.666999999905
362,5,3632.635999999983
362,6,2816.7199999999957
362,7,33592.97300000001
362,9,6527.916000000058
362,11,30722.615000000034
363,2,15863.535999999862
363,5,4271.517999999971
363,6,3326.3019999999988
363,7,33865.11099999994
363,9,4021.8710000000165
363,11,31053.102000000057
364,1,79113.63899999997
364,2,17299.873999999807
364,5,4654.81299999995
364,6,3624.6529999999984
364,7,34512.34500000004
364,9,4041.6720000000255
364,11,31729.564999999977
365,1,70502.68199999999
365,2,17198.813999999842
365,5,4673.165999999965
365,6,3628.6340000000023
365,7,34072.12900000004
365,9,3846.7420000000247
365,11,31289.641000000014
366,2,17300.139999999825
366,5,4715.970999999965
366,6,3669.731000000003
366,7,35177.187999999995
366,9,3835.6930000000207
366,11,32225.581000000155
367,1,91912.32799999998
367,2,17726.69499999984
367,5,4705.25199999997
367,6,3663.5199999999995
367,7,33993.988000000034
367,9,4041.0400000000263
367,11,31155.977000000028
368,1,49924.74599999992
368,2,17934.940999999817
368,5,4767.189999999955
368,6,3715.944999999998
368,7,34570.22699999994
368,9,3750.2380000000276
368,11,31573.924000000126
369,1,22135.01799999999
369,2,47204.24700000006
369,5,127037.38299999983
369,6,98582.18000000001
369,7,34869.24300000001
369,9,2893.0770000000252
369,11,32023.33100000009
370,1,90972.69099999986
370,2,68264.7059999999
370,5,258274.86500000008
370,6,199928.9470000001
370,7,33974.171
370,9,1806.6739999999995
370,11,31082.50599999996
371,1,28069.09899999997
371,2,69034.59599999989
371,5,236827.9479999996
371,6,184919.73600000038
371,7,34524.22599999996
371,9,1731.6819999999989
371,11,31617.746000000097
372,1,45001.9279999999
372,2,67732.1049999999
372,5,241601.15199999986
372,6,187785.82100000026
372,7,34309.58900000004
372,9,1711.6199999999974
372,11,31447.016999999993
373,1,88025.99099999994
373,2,38449.23399999985
373,5,65821.1550000002
373,6,51009.954999999696
373,7,33332.965999999964
373,9,1763.154
373,11,30611.161999999968
374,1,6810.4720000000025
374,2,67683.3219999997
374,5,6535.365000000012
374,6,5088.357999999999
374,7,34241.77599999996
374,9,1752.9439999999975
374,11,31386.628000000048
375,1,68377.36199999973
375,2,66631.68699999976
375,5,218488.6240000009
375,6,169801.0350000004
375,7,34240.588
375,9,1818.1439999999966
375,11,31551.228000000065
376,1,72649.72599999982
376,2,66466.87399999994
376,5,233801.76699999956
376,6,181579.43800000031
376,7,33853.694999999985
376,9,1799.918999999996
376,11,31169.019000000037
377,2,27060.39299999978
377,5,42462.435000000245
377,6,33296.29299999994
377,7,34318.56100000001
377,9,1810.6119999999983
377,11,31479.24500000006
378,1,91026.92100000009
378,2,17744.61599999984
378,5,6927.835000000007
378,6,5409.074000000014
378,7,32860.049999999996
378,9,1807.2539999999972
378,11,30048.659999999993
379,1,51670.75499999988
379,2,67329.48399999984
379,3,7144.139
379,4,19885.57800000001
379,5,211046.3779999999
379,6,164425.23400000026
379,7,33204.782999999894
379,9,1745.1269999999959
379,11,30521.605000000003
380,0,10896.15899999998
380,1,17465.049
380,2,61642.41199999999
380,3,12465.948000000006
380,4,58323.74300000015
380,5,206344.477000001
380,6,160810.7319999999
380,7,34909.243
380,8,42895.614
380,9,1737.921
380,11,31939.2850000001
381,0,6308.966000000002
381,1,92712.56200000018
381,2,63322.42699999983
381,3,7.0489999999999995
381,4,57848.71500000017
381,5,191129.23000000045
381,6,148508.64800000022
381,7,33564.419999999984
381,8,24797.327000000023
381,9,1778.189999999995
381,11,30724.539000000022
382,1,12763.136999999988
382,2,65743.79699999974
382,3,4.689
382,5,6538.830000000012
382,6,5095.716000000002
382,7,33211.87999999997
382,9,1683.5590000000007
382,11,30548.51200000003
383,1,74603.1139999998
383,2,50195.07700000027
383,3,8.376000000000001
383,5,6581.381000000005
383,6,5107.655999999985
383,7,33836.71599999999
383,9,1694.9689999999973
383,11,30970.25400000006
384,1,87019.41300000019
384,2,16702.339999999847
384,3,5.537999999999999
384,5,5885.638999999947
384,6,4570.818999999993
384,7,33426.00999999995
384,9,1769.710999999997
384,11,30718.315000000075
385,1,35676.36499999987
385,2,14384.028999999895
385,3,9.824
385,5,3816.648999999977
385,6,2975.0629999999996
385,7,31547.557999999954
